Table 1
"Table 306.10. Total fall enrollment in degree-granting postsecondary institutions, by level of enrollment, sex, attendance status, and race/ethnicity or nonresident status of student: Selected years, 1976 through 2023",,,,,,,,,,,,,,,,,,,,,,
"Level of enrollment, sex, attendance status, and race/ethnicity or nonresident status of student",Fall enrollment (in thousands),,,,,,,,,,,Percentage distribution of U.S. resident students (excludes nonresident students),,,,,,,,,,
,1976,1980,1990,2000,2013,2018,2019,2020,2021,2022,2023,1976,1980,1990,2000,2013,2018,2019,2020,2021,2022,2023
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"    All students, total","10,985.6","12,086.8","13,818.6","15,312.3","20,376.7","19,651.4","19,630.2","19,027.4","18,658.8","18,583.5","19,039.6",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Total, selected races/
   ethnicities","1,690.8","1,948.8","2,704.7","4,321.5","7,947.1","8,356.3","8,515.8","8,361.7","8,274.8","8,406.3","8,807.2",15.7,16.5,20.1,29.2,40.7,44.8,45.6,46.0,46.6,47.7,48.9
"  American Indian/Alaska
     Native",76.1,83.9,102.8,151.2,162.2,133.1,129.7,120.8,120.6,121.2,125.2,0.7,0.7,0.8,1.0,0.8,0.7,0.7,0.7,0.7,0.7,0.7
  Asian/Pacific Islander,197.9,286.4,572.4,978.2,"1,259.7","1,355.2","1,378.0","1,391.2","1,400.4","1,415.4","1,463.7",1.8,2.4,4.3,6.6,6.4,7.3,7.4,7.7,7.9,8.0,8.1
    Asian,---,---,---,---,"1,198.7","1,304.8","1,327.1","1,342.6","1,353.6","1,371.1","1,419.2",---,---,---,---,6.1,7.0,7.1,7.4,7.6,7.8,7.9
    Pacific Islander,---,---,---,---,61.0,50.4,50.9,48.6,46.8,44.3,44.5,---,---,---,---,0.3,0.3,0.3,0.3,0.3,0.3,0.2
  Black,"1,033.0","1,106.8","1,247.0","1,730.3","2,872.0","2,496.1","2,467.3","2,389.4","2,329.1","2,322.9","2,412.2",9.6,9.4,9.3,11.7,14.7,13.4,13.2,13.1,13.1,13.2,13.4
  Hispanic,383.8,471.7,782.4,"1,461.8","3,093.2","3,642.5","3,785.9","3,696.8","3,667.7","3,781.5","3,995.0",3.6,4.0,5.8,9.9,15.8,19.5,20.3,20.3,20.6,21.5,22.2
  Two or more races,---,---,---,---,560.0,729.3,754.9,763.4,756.9,765.2,811.1,---,---,---,---,2.9,3.9,4.0,4.2,4.3,4.3,4.5
White,"9,076.1","9,833.0","10,722.5","10,462.1","11,589.4","10,305.2","10,139.8","9,817.2","9,498.8","9,211.1","9,214.7",84.3,83.5,79.9,70.8,59.3,55.2,54.4,54.0,53.4,52.3,51.1
Nonresident\1\,218.7,305.0,391.5,528.7,840.2,989.9,974.6,848.5,885.2,966.2,"1,017.8",†,†,†,†,†,†,†,†,†,†,†
"
Male","5,794.4","5,868.1","6,283.9","6,721.8","8,861.2","8,444.6","8,363.9","7,885.0","7,767.9","7,818.3","8,066.5",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"  Total, selected races/
     ethnicities",826.6,884.4,"1,176.6","1,789.8","3,268.7","3,401.2","3,439.8","3,261.4","3,254.4","3,353.0","3,549.2",14.7,15.6,19.5,27.9,38.9,43.0,43.9,43.9,44.6,46.0,47.3
"    American Indian/Alaska
       Native",38.5,37.8,43.1,61.4,64.7,51.3,49.2,43.4,43.4,44.3,46.7,0.7,0.7,0.7,1.0,0.8,0.6,0.6,0.6,0.6,0.6,0.6
    Asian/Pacific Islander,108.4,151.3,294.9,465.9,594.3,626.7,634.6,629.2,633.2,645.7,674.6,1.9,2.7,4.9,7.3,7.1,7.9,8.1,8.5,8.7,8.9,9.0
      Asian,---,---,---,---,567.1,604.5,612.5,609.0,613.9,626.9,655.7,---,---,---,---,6.8,7.6,7.8,8.2,8.4,8.6,8.7
      Pacific Islander,---,---,---,---,27.2,22.2,22.1,20.2,19.2,18.8,18.8,---,---,---,---,0.3,0.3,0.3,0.3,0.3,0.3,0.3
    Black,469.9,463.7,484.7,635.3,"1,064.9",911.2,894.3,834.6,823.7,832.0,870.2,8.3,8.2,8.0,9.9,12.7,11.5,11.4,11.2,11.3,11.4,11.6
    Hispanic,209.7,231.6,353.9,627.1,"1,307.7","1,506.7","1,549.0","1,446.2","1,445.7","1,515.8","1,620.2",3.7,4.1,5.9,9.8,15.6,19.1,19.8,19.5,19.8,20.8,21.6
    Two or more races,---,---,---,---,237.1,305.2,312.7,308.1,308.4,315.2,337.5,---,---,---,---,2.8,3.9,4.0,4.1,4.2,4.3,4.5
  White,"4,813.7","4,772.9","4,861.0","4,634.6","5,132.4","4,501.8","4,395.5","4,165.9","4,035.2","3,937.9","3,960.8",85.3,84.4,80.5,72.1,61.1,57.0,56.1,56.1,55.4,54.0,52.7
  Nonresident\1\,154.1,210.8,246.3,297.3,460.1,541.6,528.6,457.7,478.3,527.4,556.5,†,†,†,†,†,†,†,†,†,†,†
"
Female","5,191.2","6,218.7","7,534.7","8,590.5","11,515.5","11,206.8","11,266.3","11,142.4","10,890.9","10,765.2","10,973.1",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"  Total, selected races/
     ethnicities",864.2,"1,064.4","1,528.1","2,531.7","4,678.4","4,955.1","5,075.9","5,100.3","5,020.4","5,053.3","5,258.0",16.9,17.4,20.7,30.3,42.0,46.1,46.9,47.4,47.9,48.9,50.0
"    American Indian/Alaska
       Native",37.6,46.1,59.7,89.7,97.5,81.8,80.4,77.4,77.2,77.0,78.5,0.7,0.8,0.8,1.1,0.9,0.8,0.7,0.7,0.7,0.7,0.7
    Asian/Pacific Islander,89.4,135.2,277.5,512.3,665.4,728.5,743.4,762.1,767.2,769.6,789.2,1.7,2.2,3.8,6.1,6.0,6.8,6.9,7.1,7.3,7.5,7.5
      Asian,---,---,---,---,631.6,700.3,714.6,733.6,739.7,744.2,763.5,---,---,---,---,5.7,6.5,6.6,6.8,7.1,7.2,7.3
      Pacific Islander,---,---,---,---,33.7,28.2,28.8,28.5,27.5,25.5,25.7,---,---,---,---,0.3,0.3,0.3,0.3,0.3,0.2,0.2
    Black,563.1,643.0,762.3,"1,095.0","1,807.1","1,584.9","1,573.1","1,554.8","1,505.4","1,490.9","1,542.0",11.0,10.5,10.3,13.1,16.2,14.7,14.5,14.5,14.4,14.4,14.7
    Hispanic,174.1,240.1,428.5,834.7,"1,785.5","2,135.8","2,236.9","2,250.6","2,222.0","2,265.8","2,374.8",3.4,3.9,5.8,10.0,16.0,19.9,20.7,20.9,21.2,21.9,22.6
    Two or more races,---,---,---,---,322.9,424.1,442.2,455.4,448.5,450.1,473.5,---,---,---,---,2.9,3.9,4.1,4.2,4.3,4.4,4.5
  White,"4,262.4","5,060.1","5,861.5","5,827.5","6,457.0","5,803.4","5,744.3","5,651.3","5,463.6","5,273.1","5,253.9",83.1,82.6,79.3,69.7,58.0,53.9,53.1,52.6,52.1,51.1,50.0
  Nonresident\1\,64.6,94.2,145.2,231.4,380.1,448.3,446.0,390.8,406.8,438.8,461.2,†,†,†,†,†,†,†,†,†,†,†
"
Full-time","6,703.6","7,088.9","7,821.0","9,009.6","12,596.6","11,989.6","11,954.4","11,609.5","11,326.3","11,287.4","11,578.0",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"  Total, selected races/
     ethnicities","1,030.9","1,137.5","1,514.9","2,368.5","4,663.7","4,812.7","4,910.1","4,880.5","4,775.8","4,850.3","5,101.0",15.8,16.6,20.1,27.5,39.2,43.1,44.0,44.6,45.0,46.2,47.5
"    American Indian/Alaska
       Native",43.0,43.0,54.4,84.4,94.2,73.3,70.7,66.7,64.6,64.7,67.3,0.7,0.6,0.7,1.0,0.8,0.7,0.6,0.6,0.6,0.6,0.6
    Asian/Pacific Islander,117.7,162.0,347.4,591.2,821.2,888.2,906.3,919.1,928.1,938.1,969.4,1.8,2.4,4.6,6.9,6.9,7.9,8.1,8.4,8.8,8.9,9.0
      Asian,---,---,---,---,785.5,859.9,878.1,891.9,903.0,914.1,944.9,---,---,---,---,6.6,7.7,7.9,8.2,8.5,8.7,8.8
      Pacific Islander,---,---,---,---,35.7,28.3,28.1,27.2,25.1,24.0,24.6,---,---,---,---,0.3,0.3,0.3,0.2,0.2,0.2,0.2
    Black,659.2,685.6,718.3,982.6,"1,669.0","1,417.8","1,398.1","1,363.7","1,309.4","1,307.6","1,365.6",10.1,10.0,9.5,11.4,14.0,12.7,12.5,12.5,12.3,12.5,12.7
    Hispanic,211.1,247.0,394.7,710.3,"1,701.8","1,961.2","2,049.0","2,043.0","1,994.4","2,055.3","2,184.5",3.2,3.6,5.2,8.3,14.3,17.6,18.4,18.7,18.8,19.6,20.3
    Two or more races,---,---,---,---,377.5,472.2,486.1,488.1,479.3,484.8,514.2,---,---,---,---,3.2,4.2,4.4,4.5,4.5,4.6,4.8
  White,"5,512.6","5,717.0","6,016.5","6,231.1","7,237.7","6,359.7","6,240.1","6,055.7","5,826.5","5,641.0","5,641.8",84.2,83.4,79.9,72.5,60.8,56.9,56.0,55.4,55.0,53.8,52.5
  Nonresident\1\,160.0,234.4,289.6,410.0,695.2,817.2,804.1,673.3,724.0,796.0,835.2,†,†,†,†,†,†,†,†,†,†,†
"
Part-time","4,282.1","4,997.9","5,997.7","6,302.7","7,780.1","7,661.8","7,675.8","7,417.9","7,332.4","7,296.1","7,461.6",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"  Total, selected races/
     ethnicities",659.9,811.3,"1,189.8","1,953.0","3,283.4","3,543.5","3,605.6","3,481.2","3,498.9","3,556.0","3,706.1",15.6,16.5,20.2,31.6,43.0,47.3,48.0,48.1,48.8,49.9,50.9
